iter	Passed	Remaining
782	17789	4930
783	17803	4905
784	17817	4879
785	17830	4854
786	17844	4829
787	17857	4804
788	17882	4782
789	17911	4761
790	17943	4741
791	17989	4724
792	18024	4704
793	18077	4690
794	18098	4666
795	18118	4643
796	18148	4622
797	18169	4599
798	18184	4574
799	18200	4550
800	18216	4525
801	18236	4502
802	18250	4477
803	18263	4452
804	18278	4427
805	18291	4402
806	18305	4377
807	18322	4353
808	18338	4329
809	18353	4305
810	18368	4280
811	18381	4255
812	18396	4231
813	18413	4207
814	18429	4183
815	18445	4159
816	18458	4134
817	18473	4110
818	18487	4085
819	18501	4061
820	18517	4037
821	18531	4012
822	18546	3988
823	18562	3964
824	18577	3940
825	18591	3916
826	18613	3893
827	18628	3869
828	18643	3845
829	18665	3822
830	18685	3800
831	18706	3777
832	18722	3753
833	18738	3729
834	18758	3706
835	18775	3683
836	18793	3659
837	18810	3636
838	18827	3612
839	18845	3589
840	18862	3566
841	18878	3542
842	18898	3519
843	18917	3496
844	18935	3473
845	18951	3449
846	18968	3426
847	18986	3403
848	19004	3380
849	19019	3356
850	19036	3333
851	19054	3309
852	19071	3286
853	19086	3262
854	19102	3239
855	19118	3216
856	19140	3193
857	19161	3171
858	19177	3147
859	19197	3125
860	19214	3101
861	19233	3079
862	19250	3055
863	19265	3032
864	19281	3009
865	19297	2985
866	19315	2963
867	19331	2939
868	19345	2916
869	19360	2892
870	19381	2870
871	19398	2847
872	19415	2824
873	19431	2801
874	19456	2779
875	19475	2756
876	19492	2733
877	19513	2711
878	19530	2688
879	19545	2665
880	19571	2643
881	19591	2621
882	19619	2599
883	19644	2577
884	19665	2555
885	19691	2533
886	19726	2513
887	19755	2491
888	19776	2469
889	19807	2448
890	19834	2426
891	19858	2404
892	19876	2381
893	19893	2358
894	19911	2336
895	19939	2314
896	19984	2294
897	20026	2274
898	20080	2256
899	20120	2235
900	20159	2215
901	20198	2194
902	20237	2173
903	20268	2152
904	20300	2130
905	20321	2108
906	20339	2085
907	20364	2063
908	20380	2040
909	20419	2019
910	20444	1997
911	20459	1974
912	20474	1951
913	20486	1927
914	20499	1904
915	20512	1881
916	20527	1857
917	20539	1834
918	20552	1811
919	20567	1788
920	20581	1765
921	20595	1742
922	20609	1719
923	20624	1696
924	20638	1673
925	20652	1650
926	20665	1627
927	20683	1604
928	20696	1581
929	20710	1558
930	20724	1535
931	20738	1513
932	20753	1490
933	20767	1467
934	20780	1444
935	20797	1422
936	20819	1399
937	20836	1377
938	20850	1354
939	20865	1331
940	20880	1309
941	20894	1286
942	20908	1263
943	20921	1241
944	20935	1218
945	20948	1195
946	20962	1173
947	20977	1150
948	20990	1128
949	21004	1105
950	21018	1082
951	21033	1060
952	21048	1038
953	21061	1015
954	21075	993
955	21089	970
956	21103	948
957	21117	925
958	21131	903
959	21145	881
960	21164	858
961	21178	836
962	21193	814
963	21208	792
964	21223	769
965	21236	747
966	21249	725
967	21263	702
968	21276	680
969	21290	658
970	21303	636
971	21318	614
972	21333	591
973	21347	569
974	21360	547
975	21374	525
976	21389	503
977	21404	481
978	21419	459
979	21432	437
980	21446	415
981	21460	393
982	21475	371
983	21489	349
984	21503	327
985	21519	305
986	21534	283
987	21549	261
988	21564	239
989	21578	217
990	21592	196
991	21606	174
992	21619	152
993	21633	130
994	21651	108
995	21666	87
996	21680	65
997	21696	43
998	21709	21
999	21723	0
